Geo,Year,D4c
2042,2019,49.17199
2043,2019,38.62237
2044.01,2019,79.62212
2044.02,2019,148.59742
2045,2019,140.53125
2046,2019,119.51815
2047.01,2019,73.97248
2047.02,2019,122.14462
2048,2019,41.74246
2049,2019,80.92316
2050,2019,33.60305
2051,2019,44.45745
2052,2019,57.07038
2053,2019,137.91571
2054,2019,66.24605
2055,2019,120.03818
2056,2019,108.86031
2057,2019,29.5456
2058,2019,59.82077
2059,2019,137.90731
2060,2019,126.94053
2061.01,2019,175.78274
2061.02,2019,178.66667
2062.01,2019,151.43296
2062.02,2019,101.53809
2062.03,2019,91.26944
2063.01,2019,90.88986
2063.02,2019,178.6502
2064,2019,30.38173
2065,2019,151.92821
2066.01,2019,72.32242
2066.02,2019,71.68521
2067,2019,64.05797
2068,2019,34.41579
2069.01,2019,57.47054
2069.02,2019,52.72857
2070,2019,58.7729
2071,2019,33.6524
2072,2019,77.79341
2073.01,2019,65.51829
2073.02,2019,92.33101
2073.03,2019,48.95808
2074.01,2019,85.85115
2074.02,2019,121.4804
2075.01,2019,91.65137
2075.02,2019,99.21599
2076.01,2019,90.93487
2076.02,2019,92.3526
2076.03,2019,91.66667
2077,2019,75.0336
2078,2019,41.79738
2079.01,2019,54.90905
2079.02,2019,48.26746
2080.01,2019,74.77109
2080.02,2019,91.06616
2080.03,2019,88.66667
2080.04,2019,51.26203
2081,2019,117.33987
2082,2019,65.85641
2083,2019,80.15602
2084,2019,84.27167
2085.01,2019,86.68659
2085.02,2019,88.61307
2086.01,2019,128.05808
2086.02,2019,129.66667
2086.03,2019,126.78024
2087,2019,127.89459
2088,2019,51.76361
2089.01,2019,28.26498
2089.02,2019,28.52524
2089.03,2019,81.16097
2089.04,2019,51.05724
2090,2019,21.85181
2091,2019,0.31729
2092,2019,0
2093,2019,0
2094,2019,0.11571
2095,2019,0
2096.01,2019,49.05192
2096.02,2019,48.86869
2097,2019,40.99725
2098,2019,40.90994
2099.01,2019,30.09399
2099.02,2019,30.36018
2100,2019,29.25447
2101,2019,39.57311
2102,2019,28.39441
2103,2019,4.71541
2104,2019,25.6599
2105,2019,25.69688
2106,2019,63.23332
2107,2019,46.07183
2108,2019,67.38547
2109,2019,26.16293
2110,2019,67.29711
2111.01,2019,67.03084
2111.02,2019,52.25511
2112.01,2019,51.7171
2112.02,2019,52
2112.03,2019,52
2112.04,2019,51.79535
2112.05,2019,8.51511
2112.06,2019,51.56938
2113,2019,9.77895
2114.01,2019,65.82326
2114.02,2019,10.68441
2114.03,2019,21.31502
2115.01,2019,119.94388
2115.02,2019,30.88942
2116.01,2019,71.2561
2116.02,2019,69.07704
2117.01,2019,67.33333
2117.02,2019,47.34151
2118,2019,99.34619
2119,2019,95.83395
2120,2019,100.14729
2121,2019,92.38232
2122,2019,158.1745
2123,2019,34.12288
2124,2019,32.161
2125,2019,89.72258
2126,2019,25.21725
2127,2019,28.40272
2128,2019,40.14657
2129,2019,39.11052
2130,2019,29.55926
2131,2019,1.70387
2132,2019,8.9503
2133,2019,22.306
2134,2019,41.69765
