Geo,Year,D3bpo4
2130,2019,6.392882
2131,2019,8.282522
2132,2019,5.333932
2133,2019,4.394561
2134,2019,4.063673
2135,2019,16.114607
2136,2019,13.170091
2137,2019,7.036522
2138,2019,13.740597
2139,2019,7.12428
2140,2019,17.495733
2141,2019,9.831052
2142,2019,10.953974
2143,2019,8.268671
2144,2019,13.550866
2145,2019,6.363273
2146,2019,6.925214
2147,2019,18.420308
2148,2019,7.761827
2149,2019,1.683305
2150,2019,7.590905
2151,2019,1.750416
2152,2019,0.003709
2153,2019,0.340013
2154,2019,0.329838
2155,2019,0.025244
2156,2019,0.180235
2157,2019,0.255179
2158,2019,0.008009
2159,2019,0.101659
1611,2045,1.600287
1612,2045,0.122858
1613,2045,8.168613
1614,2045,18.477254
1615,2045,0.108453
1616,2045,0.069506
1617,2045,0.29118
1618,2045,14.529692
1619,2045,0.362292
1620,2045,0.36133
1621,2045,1.499824
1622,2045,0.326962
1623,2045,1.616923
1624,2045,1.49002
1625,2045,1.43991
1626,2045,1.529549
1627,2045,1.932069
1628.01,2045,8.122494
1628.02,2045,8.07091
1628.03,2045,8.067677
1629,2045,5.034233
1630.01,2045,19.2264
1630.02,2045,29.780881
1631,2045,30.275063
1632.01,2045,17.356275
1632.02,2045,26.216254
1632.03,2045,14.27877
1632.04,2045,9.199166
1633,2045,0.322874
1634,2045,9.232872
1635,2045,6.325264
1636,2045,3.534791
1637,2045,20.120889
1638.01,2045,41.368894
1638.02,2045,18.749972
1639.01,2045,14.76193
1639.02,2045,16.839049
1640,2045,1.194741
1641,2045,1.245741
1642,2045,4.243155
1643,2045,3.721151
1644,2045,6.753161
1645,2045,16.944108
1646,2045,29.93529
1647.01,2045,21.62958
1647.02,2045,31.902497
1648,2045,29.286729
1649,2045,9.36994
1650,2045,0.259808
1651,2045,6.091187
1652.01,2045,8.067192
1652.02,2045,12.363038
1653,2045,2.790461
1654.01,2045,6.167069
1654.02,2045,6.071683
1655,2045,25.008123
1656,2045,17.575654
1657,2045,11.44424
1658,2045,35.509848
1659,2045,5.784429
1660,2045,21.065433
1661,2045,3.92794
1662.01,2045,16.859645
1662.02,2045,23.452292
1662.03,2045,3.398046
1663,2045,17.454331
1664,2045,10.543023
1665.01,2045,9.758235
1665.02,2045,4.483869
1666,2045,4.637396
1667,2045,7.030691
1668,2045,4.619251
1669,2045,0.018737
1670,2045,3.679518
1671,2045,7.140156
1672.01,2045,9.64209
1672.02,2045,9.619764
1673.01,2045,0.710176
1673.02,2045,1.95705
1673.03,2045,1.852836
1674,2045,9.296544
1675.01,2045,1.834277
1675.02,2045,1.768607
1676.01,2045,1.729117
1676.02,2045,1.710676
1676.03,2045,1.855927
1677,2045,0.320935
1678,2045,4.930502
1679,2045,4.873684
1680,2045,0.449022
1681,2045,2.978994
1682.01,2045,4.772938
1682.02,2045,3.044797
1683,2045,4.939039
1684,2045,4.840373
1685,2045,2.891888
1686,2045,2.814089
1687,2045,1.508411
1688.01,2045,4.534459
1688.02,2045,2.991613
1688.03,2045,2.990835
1689.01,2045,4.932457
1689.02,2045,2.994378
1689.03,2045,2.991038
1690.01,2045,3.005249
1690.02,2045,2.96209
1691,2045,5.157088
1692,2045,1.004845
1693,2045,1.005445
1694,2045,15.046719
1695,2045,17.119356
1696,2045,9.818236
1697,2045,20.380392
1698,2045,17.990341
1699,2045,17.477502
1700,2045,1.689117
1701,2045,0.900825
1702,2045,0.700055
1703,2045,20.671161
1704.01,2045,8.260835
1704.02,2045,8.072715
1704.03,2045,8.008216
1705,2045,13.465702
1706,2045,16.300712
1707,2045,12.926486
1708,2045,6.84297
1709,2045,3.220422
1710,2045,3.217183
1711,2045,0.203454
1712,2045,1.105428
1713,2045,0.500473
1714,2045,0.502449
1715,2045,4.769778
1716,2045,2.417024
1717,2045,4.619444
1718,2045,2.411274
1719,2045,3.231493
1720,2045,1.057719
1721,2045,1.064503
1722,2045,1.097189
1723,2045,0.590526
1724,2045,5.248023
1725.01,2045,0.561903
1725.02,2045,0.538652
1726.01,2045,0.64277
1726.02,2045,0.676083
1727,2045,5.261888
1728.01,2045,2.15
1728.02,2045,2.39032
1729.01,2045,5.275695
1729.02,2045,5.261888
1730.01,2045,1.297688
1730.02,2045,2.410282
1731.01,2045,29.375071
1731.02,2045,29.53472
1731.03,2045,29.286249
1732,2045,11.262816
1733,2045,9.350161
1734,2045,2.936607
1735,2045,8.218219
1736,2045,35.225154
1737,2045,15.697059
1738,2045,3.199916
1739.01,2045,10.304134
1739.02,2045,81.336053
1739.03,2045,60.803242
1740,2045,11.616844
1741.01,2045,9.772914
1741.02,2045,9.897507
1741.03,2045,9.855429
1742.01,2045,8.916534
1742.02,2045,8.930493
1743,2045,8.969971
1744.01,2045,1.985597
1744.02,2045,2.166475
1745,2045,2.079201
1746,2045,1.928123
1747,2045,9.020233
1748,2045,25.535009
1749,2045,7.932041
1750.01,2045,10.152038
1750.02,2045,9.699142
1750.03,2045,10.457673
1751,2045,39.859333
1752.01,2045,45.526154
1752.02,2045,89.66264
1753.01,2045,7.93
1753.02,2045,7.93
1753.03,2045,7.93647
1754.01,2045,7.517468
1754.02,2045,38.474504
1754.03,2045,38.215689
1755,2045,20.049954
1756,2045,1.854089
1757,2045,8.617875
1758,2045,3.732959
1759,2045,4.159305
1760,2045,5.5381
1761,2045,13.885565
1762,2045,8.022117
1763,2045,0.732189
1764,2045,1.991105
1765,2045,1.890057
1766,2045,3.126787
1767,2045,10.10324
1768,2045,12.021083
1769,2045,8.7596
1770.01,2045,1.747411
1770.02,2045,1.73
1771,2045,0.661099
1772,2045,3.320384
1773,2045,1.73
1774,2045,1.734329
1775,2045,2.901573
1776,2045,2.628009
1777,2045,0.030981
1778,2045,6.172143
1779,2045,13.014316
1780,2045,1.293885
1781,2045,1.692864
1782,2045,1.679484
1783,2045,1.820655
1784,2045,1.129591
1785,2045,5.948547
1786,2045,11.440203
1787,2045,11.489454
1788,2045,2.198481
1789,2045,4.040589
1790,2045,19.481523
1791,2045,7.608928
1792,2045,3.784648
1793.01,2045,8.069843
1793.02,2045,8.137325
1794,2045,5.537123
1795,2045,13.633353
1796.01,2045,6.558851
1796.02,2045,16.137864
1796.03,2045,12.1308
1797.01,2045,16.89
1797.02,2045,16.889063
1797.03,2045,16.324253
1798.01,2045,13.902349
1798.02,2045,18.098089
1798.03,2045,3.025131
1798.04,2045,2.223404
1799,2045,3.574841
1800.01,2045,8.087604
1800.02,2045,17.854042
1800.03,2045,5.626684
1800.04,2045,2.201651
1800.05,2045,2.506667
1800.06,2045,6.78718
