Geo,Year,TotEmp,RetEmp,SvcEmp
1888,2019,338,48,199
1889,2019,1305,186,769
1890,2019,65,16,26
1891,2019,109,5,35
1892,2019,96,0,74
1893,2019,42,10,17
1894,2019,74,19,29
1895,2019,213,54,83
1896,2019,120,6,51
1897,2019,88,0,79
1898,2019,77,4,33
1899,2019,44,0,29
1900,2019,105,0,98
1901.01,2019,632,248,266
1901.02,2019,1126,443,474
1901.03,2019,609,239,257
1902,2019,5996,315,2690
1903,2019,256,41,83
1904,2019,329,129,139
1905,2019,610,112,289
1906.01,2019,188,51,56
1906.02,2019,218,35,86
1907,2019,314,83,117
1908,2019,1806,381,761
1909,2019,106,12,63
1910,2019,76,35,21
1911,2019,697,320,197
1912,2019,289,128,93
1913,2019,279,1,215
1914,2019,349,1,237
1915,2019,65,0,56
1916,2019,193,7,156
1917,2019,222,73,105
1918,2019,341,53,212
1919,2019,567,2,433
1920,2019,3647,194,2228
1921,2019,15,0,12
1922,2019,104,0,95
1923,2019,14,0,11
1924,2019,330,26,212
1925,2019,170,56,76
1926,2019,15,0,12
1927,2019,396,138,168
1928,2019,230,13,146
1929,2019,55,3,30
1930,2019,145,7,74
1931,2019,1078,29,192
1932,2019,25,0,20
1933,2019,1063,30,876
1934,2019,211,6,177
1935,2019,1140,161,546
1936,2019,894,107,411
1937,2019,695,69,409
1938,2019,1920,124,1077
1939,2019,973,75,599
1940,2019,510,268,57
1941,2019,140,4,72
1942,2019,70,9,48
1943.01,2019,19,8,9
1943.02,2019,14,6,6
1943.03,2019,35,13,16
1944.01,2019,53,12,14
1944.02,2019,118,28,31
1944.03,2019,199,81,44
1944.04,2019,90,63,14
1944.05,2019,508,355,80
1944.06,2019,90,25,23
1945.01,2019,113,65,28
1945.02,2019,710,411,176
1945.03,2019,611,353,150
1946,2019,286,164,70
1947,2019,789,240,371
1948,2019,1123,110,812
1949,2019,202,0,190
1950,2019,441,200,140
1951,2019,83,6,44
1952,2019,1594,384,694
1953,2019,113,0,87
1954,2019,462,7,395
1955,2019,144,17,62
1956,2019,378,40,166
1957,2019,1590,75,1202
1958,2019,187,49,42
1959,2019,314,1,206
1960,2019,2999,6,2348
1961,2019,639,221,167
1962,2019,303,160,55
1963,2019,418,142,180
1964,2019,102,0,80
1965,2019,2500,8,1933
1966.01,2019,298,5,38
1966.02,2019,526,11,66
1967,2019,752,27,78
1968.01,2019,739,13,523
1968.02,2019,612,13,367
1969.01,2019,1000,44,490
1969.02,2019,1960,86,960
1970,2019,829,7,209
1971,2019,3070,133,1524
1972.01,2019,208,1,166
1972.02,2019,292,1,233
1972.03,2019,24,0,18
1972.04,2019,1731,4,1687
1973.01,2019,888,42,434
1973.02,2019,1280,58,627
1973.03,2019,809,35,397
1973.04,2019,1051,46,516
1974,2019,7319,18,7015
1975,2019,1897,30,1582
1976,2019,977,44,780
1977,2019,145,1,65
1978,2019,257,1,203
1979,2019,197,4,166
1980,2019,78,0,57
1981,2019,1856,10,1737
1982,2019,257,114,105
1983,2019,633,26,259
1984,2019,482,146,124
1985,2019,2392,99,980
1986,2019,1495,245,892
1987,2019,576,101,96
1988,2019,33,1,8
1989.01,2019,1444,27,457
1989.02,2019,233,5,13
1989.03,2019,142,3,7
1990,2019,1877,52,1287
1991,2019,691,16,478
1992,2019,84,8,48
1993,2019,15,0,13
1994,2019,209,50,91
1995,2019,71,14,22
1996,2019,631,9,544
1997,2019,1863,24,1436
1998,2019,1356,240,579
1999,2019,550,232,153
2000,2019,113,6,47
2001,2019,552,228,162
2002,2019,631,83,406
2003,2019,888,328,330
2004,2019,700,11,529
2005,2019,10189,91,9278
2006.01,2019,1095,75,246
2006.02,2019,129,9,29
2007,2019,2130,147,623
2008,2019,445,51,232
2009,2019,1115,38,799
2010,2019,380,238,48
2011,2019,362,40,92
2012.01,2019,455,82,260
2012.02,2019,199,51,105
2013.01,2019,28260,254,25697
2013.02,2019,4155,42,3768
2014,2019,755,252,143
2015,2019,1080,202,570
2016,2019,164,31,86
2017,2019,180,35,91
2018.01,2019,107,27,30
2018.02,2019,214,53,61
2018.03,2019,212,53,60
2019,2019,702,254,108
2020,2019,837,52,686
2021,2019,973,192,424
2022,2019,335,81,104
2023,2019,445,8,382
2024,2019,114,1,87
2025.01,2019,128,19,85
2025.02,2019,126,33,71
2025.03,2019,41,0,32
2026,2019,786,304,372
2027,2019,1432,550,673
2028,2019,1773,686,840
2029,2019,225,135,37
2030,2019,590,370,74
2031,2019,917,25,665
2032,2019,947,61,651
2033,2019,1609,471,388
2034,2019,373,40,207
2035,2019,1176,86,543
2036.01,2019,264,13,205
2036.02,2019,32,8,4
2036.03,2019,80,4,61
2037,2019,92,0,70
2038,2019,1191,343,395
2039,2019,387,89,113
2040,2019,1367,580,187
2041,2019,202,1,48
2042,2019,373,6,168
2043,2019,68,11,35
2044.01,2019,1155,465,296
2044.02,2019,264,128,52
2045,2019,446,216,90
2046,2019,69,20,22
2047.01,2019,208,43,116
2047.02,2019,29,9,14
2048,2019,36,15,12
2049,2019,120,2,59
2050,2019,49,0,45
2051,2019,72,0,42
2052,2019,760,269,310
2053,2019,613,30,119
2054,2019,29,11,6
2055,2019,224,11,45
2056,2019,128,6,27
2057,2019,86,0,78
2058,2019,140,14,87
2059,2019,169,33,52
2060,2019,324,110,139
2061.01,2019,15,3,2
2061.02,2019,54,11,6
2062.01,2019,85,11,40
2062.02,2019,109,24,44
2062.03,2019,576,130,230
2063.01,2019,144,16,79
2063.02,2019,9,2,1
2064,2019,218,122,60
2065,2019,719,48,660
2066.01,2019,14,0,10
2066.02,2019,775,72,464
2067,2019,841,90,538
2068,2019,235,3,147
2069.01,2019,1665,68,1500
2069.02,2019,235,1,227
2070,2019,489,178,219
2071,2019,86,4,55
2072,2019,293,43,145
2073.01,2019,243,39,107
2073.02,2019,74,12,31
2073.03,2019,459,50,238
2074.01,2019,65,14,27
2074.02,2019,77,17,38
2075.01,2019,152,66,34
2075.02,2019,586,364,51
2076.01,2019,527,236,112
2076.02,2019,752,515,37
2076.03,2019,84,36,19
2077,2019,543,1,55
2078,2019,27,0,24
2079.01,2019,83,22,25
2079.02,2019,390,62,194
2080.01,2019,27,4,14
2080.02,2019,40,3,30
2080.03,2019,22,1,17
2080.04,2019,67,17,19
2081,2019,366,57,261
2082,2019,344,53,134
2083,2019,179,66,65
2084,2019,110,30,55
2085.01,2019,79,26,26
2085.02,2019,286,75,100
2086.01,2019,49,3,28
2086.02,2019,90,4,54
2086.03,2019,53,2,32
2087,2019,382,17,229
2088,2019,326,11,220
2089.01,2019,328,6,278
2089.02,2019,46,1,39
2089.03,2019,242,3,208
2089.04,2019,256,4,217
2090,2019,473,9,381
2091,2019,316,55,61
2092,2019,28,0,3
2093,2019,131,16,19
2094,2019,24,0,3
2095,2019,88,0,10
2096.01,2019,40,0,28
2096.02,2019,53,13,16
2097,2019,118,16,61
2098,2019,795,44,372
2099.01,2019,136,1,85
2099.02,2019,220,3,130
2100,2019,423,2,283
2101,2019,593,21,269
2102,2019,403,24,140
2103,2019,7,0,4
2104,2019,53,6,7
2105,2019,82,9,11
2106,2019,913,34,444
2107,2019,4,0,3
2108,2019,1995,57,759
2109,2019,40,4,5
2110,2019,469,13,178
2111.01,2019,596,17,227
2111.02,2019,322,14,213
2112.01,2019,198,10,153
2112.02,2019,61,3,47
2112.03,2019,40,2,31
2112.04,2019,77,4,60
2112.05,2019,14,5,5
2112.06,2019,49,3,38
2113,2019,30,1,22
2114.01,2019,197,6,75
2114.02,2019,378,11,154
2114.03,2019,286,17,90
2115.01,2019,213,7,56
2115.02,2019,602,48,123
2116.01,2019,1416,42,539
2116.02,2019,268,8,102
2117.01,2019,1088,31,414
2117.02,2019,295,8,113
2118,2019,2405,223,827
2119,2019,2611,242,898
2120,2019,2047,189,704
2121,2019,1018,94,350
2122,2019,286,13,158
2123,2019,104,8,41
2124,2019,61,5,23
2125,2019,290,42,47
2126,2019,405,22,226
2127,2019,62,0,56
2128,2019,371,116,111
2129,2019,58,1,44
2130,2019,86,0,80
2131,2019,323,62,151
2132,2019,286,13,140
2133,2019,145,5,83
2134,2019,68,1,47
2135,2019,461,184,151
2136,2019,230,1,187
2137,2019,128,11,71
2138,2019,1051,250,547
2139,2019,576,172,230
2140,2019,1048,351,253
2141,2019,165,2,131
2142,2019,1652,516,649
2143,2019,90,4,60
2144,2019,1023,104,572
2145,2019,1174,154,796
2146,2019,129,9,63
2147,2019,285,164,82
2148,2019,120,5,107
2149,2019,76,0,67
2150,2019,1208,302,509
2151,2019,30,3,23
2152,2019,37,0,20
2153,2019,83,3,22
2154,2019,148,5,39
2155,2019,70,1,57
2156,2019,85,1,55
2157,2019,69,1,44
2158,2019,75,2,40
2159,2019,90,14,41
1611,2045,419,9,157
