Geo,Year,PkgSpacesPerSFDU,PkgSpacesPerMFDU,PkgSpacesPerGQ,PropWkrPay,PropCashOut,PkgCost.2019,PropNonWrkTripPay
1732,2019,2,1.6,0,0.11,0,3.98,0
1733,2019,2,1.6,0,0.11,0,0,0
1734,2019,2,1.6,0,0.11,0,0,0
1735,2019,2,1.6,0,0.11,0,2.03,0
1736,2019,2,1.6,0,0.11,0,1.44,0
1737,2019,2,1.6,0,0.11,0,3.76,0
1738,2019,2,1.6,0,0.11,0,2.88,0
1739.01,2019,2,1.6,0,0.11,0,7.48,0
1739.02,2019,2,1.6,0,0.11,0,7.48,0
1739.03,2019,2,1.6,0,0.11,0,7.48,0
1740,2019,2,1.6,0,0.11,0,6.3,0
1741.01,2019,2,1.6,0,0.11,0,7.48,0
1741.02,2019,2,1.6,0,0.11,0,7.48,0
1741.03,2019,2,1.6,0,0.11,0,7.48,0
1742.01,2019,2,1.6,0,0.11,0,6,0
1742.02,2019,2,1.6,0,0.11,0,6,0
1743,2019,2,1.6,0,0.11,0,5.48,0
1744.01,2019,2,1.6,0,0.11,0,5.43,0
1744.02,2019,2,1.6,0,0.11,0,5.43,0
1745,2019,2,1.6,0,0.11,0,5.55,0
1746,2019,2,1.6,0,0.11,0,5.11,0
1747,2019,2,1.6,0,0.11,0,5.19,0
1748,2019,2,1.6,0,0.11,0,4.56,0
1749,2019,2,1.6,0,0.11,0,5.72,0
1750.01,2019,2,1.6,0,0.11,0,4.3,0
1750.02,2019,2,1.6,0,0.11,0,4.3,0
1750.03,2019,2,1.6,0,0.11,0,4.3,0
1751,2019,2,1.6,0,0.11,0,4.94,0
1752.01,2019,2,1.6,0,0.11,0,4.91,0
1752.02,2019,2,1.6,0,0.11,0,4.91,0
1753.01,2019,2,1.6,0,0.11,0,5.24,0
1753.02,2019,2,1.6,0,0.11,0,5.24,0
1753.03,2019,2,1.6,0,0.11,0,5.24,0
1754.01,2019,2,1.6,0,0.11,0,4.34,0
1754.02,2019,2,1.6,0,0.11,0,4.34,0
1754.03,2019,2,1.6,0,0.11,0,4.34,0
1755,2019,2,1.6,0,0.11,0,4.92,0
1756,2019,2,1.6,0,0.11,0,2.53,0
1757,2019,2,1.6,0,0.11,0,2.76,0
1758,2019,2,1.6,0,0.11,0,1.02,0
1759,2019,2,1.6,0,0.11,0,0,0
1760,2019,2,1.6,0,0.11,0,0,0
1761,2019,2,1.6,0,0.11,0,3.6,0
1762,2019,2,1.6,0,0.11,0,0,0
1763,2019,2,1.6,0,0.11,0,0,0
1764,2019,2,1.6,0,0.11,0,0,0
1765,2019,2,1.6,0,0.11,0,0,0
1766,2019,2,1.6,0,0.11,0,0,0
1767,2019,2,1.6,0,0.11,0,0,0
1768,2019,2,1.6,0,0.11,0,4.04,0
1769,2019,2,1.6,0,0.11,0,3.57,0
1770.01,2019,2,1.6,0,0.11,0,4.83,0
1770.02,2019,2,1.6,0,0.11,0,4.83,0
1771,2019,2,1.6,0,0.11,0,0,0
1772,2019,2,1.6,0,0.11,0,0.46,0
1773,2019,2,1.6,0,0.11,0,3.03,0
1774,2019,2,1.6,0,0.11,0,0,0
1775,2019,2,1.6,0,0.11,0,0,0
1776,2019,2,1.6,0,0.11,0,0,0
1777,2019,2,1.6,0,0.11,0,0,0
1778,2019,2,1.6,0,0.11,0,0,0
1779,2019,2,1.6,0,0.11,0,0,0
1780,2019,2,1.6,0,0.11,0,0,0
1781,2019,2,1.6,0,0.11,0,0,0
1782,2019,2,1.6,0,0.11,0,0,0
1783,2019,2,1.6,0,0.11,0,0,0
1784,2019,2,1.6,0,0.11,0,2.33,0
1785,2019,2,1.75,0,0.11,0,3.38,0
1786,2019,2,1.6,0,0.11,0,1.82,0
1787,2019,2,1.6,0,0.11,0,1.64,0
1788,2019,2,1.6,0,0.11,0,0,0
1789,2019,2,1.6,0,0.11,0,0.76,0
1790,2019,2,1.6,0,0.11,0,3.03,0
1791,2019,2,1.75,0,0.11,0,3.14,0
1792,2019,2,1.75,0,0.11,0,2.77,0
1793.01,2019,2,1.75,0,0.11,0,3.13,0
1793.02,2019,2,1.75,0,0.11,0,3.13,0
1794,2019,2,1.6,0,0.11,0,3.09,0
1795,2019,2,1.6,0,0.11,0,3.11,0
1796.01,2019,2,1.75,0,0.11,0,3.75,0
1796.02,2019,2,1.75,0,0.11,0,3.75,0
1796.03,2019,2,1.75,0,0.11,0,3.75,0
1797.01,2019,2,1.75,0,0.11,0,3.82,0
1797.02,2019,2,1.75,0,0.11,0,3.82,0
1797.03,2019,2,1.75,0,0.11,0,3.82,0
1798.01,2019,2,1.75,0,0.11,0,2.71,0
1798.02,2019,2,1.75,0,0.11,0,2.71,0
1798.03,2019,2,1.75,0,0.11,0,2.71,0
1798.04,2019,2,1.75,0,0.11,0,2.71,0
1799,2019,2,1.75,0,0.11,0,1.7,0
1800.01,2019,2,1.75,0,0.11,0,2.42,0
1800.02,2019,2,1.75,0,0.11,0,2.42,0
1800.03,2019,2,1.75,0,0.11,0,2.42,0
1800.04,2019,2,1.75,0,0.11,0,2.42,0
1800.05,2019,2,1.75,0,0.11,0,2.42,0
1800.06,2019,2,1.75,0,0.11,0,2.42,0
1801,2019,2,1.75,0,0.11,0,1.77,0
1802,2019,2,1.6,0,0.11,0,1.01,0
1803,2019,2,1.6,0,0.11,0,1.27,0
1804,2019,2,1.6,0,0.11,0,0.81,0
