"Geo","Year","UrbanArea","TownArea","RuralArea"
1851.02,2019,385.257749448182,0,0
1852.01,2019,0,0,16.065226769909
1852.02,2019,0,0,30.0697029964361
1853.01,2019,0,0,47.2047049320894
1853.02,2019,0,0,33.6690997895409
1854.01,2019,0,0,15.3336493813757
1854.02,2019,0,0,38.9275831958397
1855,2019,0,0,51.7087323015226
1856,2019,74.6477558162693,0,0
1857,2019,287.113545231297,0,0
1858,2019,513.813800731389,0,0
1859,2019,0,0,31.928964349661
1860,2019,0,0,31.5504943088454
1861,2019,358.135984215762,0,0
1862,2019,243.340954766591,0,0
1863,2019,500.883023066326,0,0
1864,2019,60.6433706835318,0,0
1865.01,2019,0,0,37.6124123994469
1865.02,2019,0,0,20.9502006171113
1865.03,2019,0,0,24.2884061872904
1865.04,2019,10.8524451418182,0,0
1866.01,2019,28.867786748115,0,0
1866.02,2019,25.6684838783652,0,0
1866.03,2019,21.9024161122877,0,0
1867.01,2019,54.7467427470278,0,0
1867.02,2019,0,0,14.8500217898759
1868.01,2019,0,0,52.3525808051177
1868.02,2019,0,0,72.5912999680263
1868.03,2019,0,0,61.9438308304549
1869.01,2019,65.2247840128727,0,0
1869.02,2019,0,0,51.9662495609859
1870,2019,0,0,103.530989311468
1871,2019,358.428929290665,0,0
1872,2019,382.349267670584,0,0
1873,2019,52.8540288491983,0,0
1874,2019,232.414816254683,0,0
1875,2019,18.3844101844341,0,0
1876,2019,117.328951784228,0,0
1877,2019,47.0305645180737,0,0
1878,2019,53.0947039038706,0,0
1879,2019,79.3462013804902,0,0
1880,2019,836.539674553026,0,0
1881,2019,440.564746485656,0,0
1882,2019,0,874.793370499414,0
1883,2019,449.244440490915,0,0
1884,2019,0,767.512806835137,0
1885,2019,0,1034.20209815449,0
1886,2019,0,534.167530450505,0
1887,2019,253.396475833431,0,0
1888,2019,0,230.374803317849,0
1889,2019,0,894.920929468675,0
1890,2019,398.826383878154,0,0
1891,2019,590.713655635928,0,0
1892,2019,413.440198371403,0,0
1893,2019,0,242.85400642796,0
1894,2019,0,459.700951472118,0
1895,2019,0,1321.89210203971,0
1896,2019,0,1209.6678829152,0
1897,2019,0,821.745730962971,0
1898,2019,0,780.678772490187,0
1899,2019,0,991.365536458229,0
1900,2019,0,700.979174602923,0
1901.01,2019,36.4688606346908,0,0
1901.02,2019,65.0135042914684,0,0
1901.03,2019,0,35.1540402222533,0
1902,2019,90.9569443206179,0,0
1903,2019,31.8990716516212,0,0
1904,2019,18.9873469505502,0,0
1905,2019,403.016403439189,0,0
1906.01,2019,47.600769251858,0,0
1906.02,2019,0,0,19.3698059476112
1907,2019,0,33.9574769136274,0
1908,2019,436.828032585954,0,0
1909,2019,0,0,10.6985656318021
1910,2019,0,0,20.6025988923336
1911,2019,188.219530597949,0,0
1912,2019,60.5047624589838,0,0
1913,2019,107.6380945567,0,0
1914,2019,88.0835145843252,0,0
1915,2019,511.483732886154,0,0
1916,2019,420.979688917328,0,0
1917,2019,238.815752179777,0,0
1918,2019,653.208108795524,0,0
1919,2019,714.52194486,0,0
1920,2019,290.438491141603,0,0
1921,2019,127.409112540127,0,0
1922,2019,272.908414614011,0,0
