Geo,Year,D3bp04
1675.02,2019,1.70247543
1676.01,2019,1.725023444
1676.02,2019,1.711613503
1676.03,2019,1.85614375
1677,2019,0.327095245
1678,2019,4.920129541
1679,2019,4.916859297
1680,2019,0.451405238
1681,2019,3.181512143
1682.01,2019,4.837707244
1682.02,2019,3.043267131
1683,2019,4.939034511
1684,2019,4.833834036
1685,2019,2.886170032
1686,2019,2.807290378
1687,2019,1.508059428
1688.01,2019,4.51768792
1688.02,2019,2.990308025
1688.03,2019,2.991002963
1689.01,2019,4.932557306
1689.02,2019,2.992754393
1689.03,2019,2.99101855
1690.01,2019,3.336936982
1690.02,2019,2.935402861
1691,2019,5.187140545
1692,2019,1.040861549
1693,2019,1.085245398
1694,2019,15.18672906
1695,2019,16.84763068
1696,2019,10.48754077
1697,2019,20.23327635
1698,2019,17.75227775
1699,2019,17.54101089
1700,2019,1.702849463
1701,2019,0.900230214
1702,2019,0.703021681
1703,2019,20.77180679
1704.01,2019,8.281183991
1704.02,2019,8.112167417
1704.03,2019,8.019445942
1705,2019,13.50957389
1706,2019,16.28578438
1707,2019,12.88136097
1708,2019,6.823679576
1709,2019,3.211779488
1710,2019,3.208586784
1711,2019,0.203690709
1712,2019,1.109381397
1713,2019,0.500685436
1714,2019,0.506913646
1715,2019,4.739039922
1716,2019,2.416337434
1717,2019,4.604656325
1718,2019,2.408080685
1719,2019,3.218202219
1720,2019,1.060534793
1721,2019,1.06291049
1722,2019,1.080542502
1723,2019,0.596165288
1724,2019,5.371790389
1725.01,2019,0.53966199
1725.02,2019,0.538651617
1726.01,2019,0.664677868
1726.02,2019,0.7326006
1727,2019,5.257676762
1728.01,2019,2.030025016
1728.02,2019,2.361950276
1729.01,2019,5.290386201
1729.02,2019,5.261887999
1730.01,2019,1.22110782
1730.02,2019,2.341214271
1731.01,2019,29.51250138
1731.02,2019,29.57336611
1731.03,2019,28.93383925
1732,2019,11.12772365
1733,2019,9.31009543
1734,2019,2.946032507
1735,2019,8.235747025
1736,2019,35.14903693
1737,2019,15.51973505
1738,2019,3.135495805
1739.01,2019,10.12779581
1739.02,2019,78.23003711
1739.03,2019,57.33598512
1740,2019,11.59230783
1741.01,2019,9.671669119
1741.02,2019,9.903775189
1741.03,2019,9.893418947
1742.01,2019,8.8581601
1742.02,2019,8.97470814
1743,2019,8.965268414
1744.01,2019,1.971570703
1744.02,2019,2.317721736
1745,2019,2.135463555
1746,2019,1.993732256
1747,2019,8.969845753
1748,2019,25.13087709
1749,2019,7.951949862
1750.01,2019,10.48622787
1750.02,2019,9.714920187
1750.03,2019,10.67614936
1751,2019,39.87592305
1752.01,2019,45.19955464
1752.02,2019,89.21450582
1753.01,2019,7.93
1753.02,2019,8.053628379
1753.03,2019,7.964943874
1754.01,2019,7.760534738
1754.02,2019,38.07670242
1754.03,2019,36.61423621
1755,2019,18.83121328
