Geo,Year,MixUseProp
2025.01,2045,NA
2024,2045,NA
2082,2045,NA
2083,2045,NA
2085.02,2045,NA
2079.02,2045,NA
2086.02,2045,NA
2087,2045,NA
2088,2045,NA
2078,2045,NA
2068,2045,NA
2067,2045,NA
1989.01,2045,NA
2091,2045,NA
2089.01,2045,NA
2120,2045,NA
2121,2045,NA
2123,2045,NA
2116.01,2045,NA
2035,2045,NA
2107,2045,NA
2097,2045,NA
2122,2045,NA
2029,2045,NA
2026,2045,NA
2028,2045,NA
2150,2045,NA
2133,2045,NA
2142,2045,NA
2145,2045,NA
2147,2045,NA
2143,2045,NA
1632.01,2045,NA
2031,2045,NA
2027,2045,NA
2018.02,2045,NA
1636,2045,NA
1633,2045,NA
2094,2045,NA
2099.02,2045,NA
2106,2045,NA
2098,2045,NA
2105,2045,NA
2104,2045,NA
1623,2045,NA
2128,2045,NA
1622,2045,NA
1614,2045,NA
1617,2045,NA
2080.04,2045,NA
1988,2045,NA
2081,2045,NA
2084,2045,NA
2046,2045,NA
2100,2045,NA
2004,2045,NA
2132,2045,NA
2006.01,2045,NA
2013.01,2045,NA
2058,2045,NA
2056,2045,NA
2005,2045,NA
1697,2045,NA
2012.01,2045,NA
2019,2045,NA
1699,2045,NA
1653,2045,NA
1993,2045,NA
1952,2045,NA
2000,2045,NA
1999,2045,NA
2119,2045,NA
2118,2045,NA
2074.02,2045,NA
2059,2045,NA
2049,2045,NA
2047.01,2045,NA
2048,2045,NA
2032,2045,NA
2015,2045,NA
2016,2045,NA
2017,2045,NA
2138,2045,NA
2125,2045,NA
2126,2045,NA
2135,2045,NA
2134,2045,NA
1977,2045,NA
1629,2045,NA
1635,2045,NA
1628.01,2045,NA
1631,2045,NA
1627,2045,NA
2144,2045,NA
2146,2045,NA
2148,2045,NA
2141,2045,NA
2149,2045,NA
1626,2045,NA
1624,2045,NA
2129,2045,NA
2130,2045,NA
2095,2045,NA
2156,2045,NA
2155,2045,NA
2153,2045,NA
2157,2045,NA
2131,2045,NA
2101,2045,NA
2109,2045,NA
2090,2045,NA
2113,2045,NA
1980,2045,NA
2137,2045,NA
2136,2045,NA
2096.01,2045,NA
2127,2045,NA
2159,2045,NA
2152,2045,NA
1615,2045,NA
1616,2045,NA
1625,2045,NA
1620,2045,NA
1621,2045,NA
1619,2045,NA
1618,2045,NA
1657,2045,NA
1656,2045,NA
1611,2045,NA
1613,2045,NA
1698,2045,NA
1696,2045,NA
1655,2045,NA
1660,2045,NA
1784,2045,NA
1786,2045,NA
1791,2045,NA
1803,2045,NA
1806,2045,NA
1809,2045,NA
1808,2045,NA
1807,2045,NA
1815,2045,NA
1930,2045,NA
1925,2045,NA
1926,2045,NA
1921,2045,NA
1923,2045,NA
1924,2045,NA
1862,2045,NA
1875,2045,NA
1873,2045,NA
1877,2045,NA
1872,2045,NA
1883,2045,NA
1882,2045,NA
1867.01,2045,NA
1843.02,2045,NA
1841.03,2045,NA
1840,2045,NA
1846.01,2045,NA
1839,2045,NA
2117.01,2045,NA
2092,2045,NA
2093,2045,NA
2102,2045,NA
2111.02,2045,NA
2077,2045,NA
2069.01,2045,NA
2073.03,2045,NA
2072,2045,NA
2070,2045,NA
2112.01,2045,NA
2038,2045,NA
2033,2045,NA
2040,2045,NA
2051,2045,NA
2055,2045,NA
1831,2045,NA
1834,2045,NA
1835,2045,NA
1837,2045,NA
1868.02,2045,NA
1870,2045,NA
1864,2045,NA
1829,2045,NA
1892,2045,NA
1722,2045,NA
1725.02,2045,NA
1773,2045,NA
1726.01,2045,NA
1770.01,2045,NA
1727,2045,NA
1729.01,2045,NA
1741.03,2045,NA
1744.01,2045,NA
1750.01,2045,NA
1746,2045,NA
1749,2045,NA
1705,2045,NA
2023,2045,NA
2020,2045,NA
2021,2045,NA
2140,2045,NA
2139,2045,NA
2151,2045,NA
2071,2045,NA
1950,2045,NA
1911,2045,NA
1991,2045,NA
2158,2045,NA
1903,2045,NA
2062.03,2045,NA
2063.01,2045,NA
2061.02,2045,NA
2103,2045,NA
2075.01,2045,NA
2076.01,2045,NA
2074.01,2045,NA
2080.03,2045,NA
2080.02,2045,NA
2080.01,2045,NA
2085.01,2045,NA
2086.03,2045,NA
2086.01,2045,NA
2079.01,2045,NA
2069.02,2045,NA
2073.02,2045,NA
2073.01,2045,NA
2044.02,2045,NA
2062.02,2045,NA
2062.01,2045,NA
2047.02,2045,NA
2066.01,2045,NA
2063.02,2045,NA
2061.01,2045,NA
1676.01,2045,NA
1754.03,2045,NA
1754.01,2045,NA
1753.03,2045,NA
1752.02,2045,NA
1675.02,2045,NA
1673.03,2045,NA
1673.02,2045,NA
1672.02,2045,NA
1662.01,2045,NA
1662.03,2045,NA
1689.01,2045,NA
1689.03,2045,NA
1688.01,2045,NA
1690.02,2045,NA
1682.02,2045,NA
1750.02,2045,NA
1865.04,2045,NA
1865.03,2045,NA
1865.01,2045,NA
1865.02,2045,NA
1867.02,2045,NA
1866.01,2045,NA
1866.02,2045,NA
1843.01,2045,NA
1853.02,2045,NA
1854.01,2045,NA
1851.01,2045,NA
1852.01,2045,NA
1849.01,2045,NA
1848.02,2045,NA
1832.01,2045,NA
1832.03,2045,NA
1847.02,2045,NA
1833.02,2045,NA
1845.01,2045,NA
1845.03,2045,NA
1842.02,2045,NA
1841.04,2045,NA
1841.02,2045,NA
1841.01,2045,NA
1838.02,2045,NA
1869.02,2045,NA
1770.02,2045,NA
1726.02,2045,NA
1725.01,2045,NA
1728.01,2045,NA
1730.01,2045,NA
1729.02,2045,NA
1742.02,2045,NA
1731.01,2045,NA
1739.01,2045,NA
1741.01,2045,NA
1731.03,2045,NA
1744.02,2045,NA
1750.03,2045,NA
1638.02,2045,NA
1639.01,2045,NA
1652.01,2045,NA
1654.02,2045,NA
1665.02,2045,NA
1647.02,2045,NA
1650,2045,NA
2116.02,2045,NA
2117.02,2045,NA
2114.01,2045,NA
2115.01,2045,NA
2114.03,2045,NA
1966.01,2045,NA
1968.02,2045,NA
1817.02,2045,NA
1814.01,2045,NA
1972.01,2045,NA
1972.03,2045,NA
1972.02,2045,NA
2025.02,2045,NA
2025.03,2045,NA
1704.01,2045,NA
1753.01,2045,NA
1704.03,2045,NA
1817.03,2045,NA
2096.02,2045,NA
1943.01,2045,NA
1944.05,2045,NA
1944.03,2045,NA
1944.01,2045,NA
1846.02,2045,NA
2115.02,2045,NA
2076.03,2045,NA
1812,2045,NA
1969.01,2045,NA
1973.02,2045,NA
1868.01,2045,NA
1868.03,2045,NA
1973.01,2045,NA
1973.03,2045,NA
1973.04,2045,NA
2099.01,2045,NA
2111.01,2045,NA
2112.02,2045,NA
2112.03,2045,NA
2112.04,2045,NA
2112.05,2045,NA
2112.06,2045,NA
2089.02,2045,NA
2089.03,2045,NA
2089.04,2045,NA
2036.02,2045,NA
2036.03,2045,NA
1944.04,2045,NA
1944.06,2045,NA
1943.02,2045,NA
1901.03,2045,NA
1901.01,2045,NA
1906.02,2045,NA
1739.02,2045,NA
1741.02,2045,NA
1945.03,2045,NA
2013.02,2045,NA
1989.03,2045,NA
2018.01,2045,NA
2018.03,2045,NA
2012.02,2045,NA
1989.02,2045,NA
2006.02,2045,NA
1688.03,2045,NA
1676.03,2045,NA
1945.01,2045,NA
1833.01,2045,NA
1833.03,2045,NA
1796.01,2045,NA
1796.03,2045,NA
1797.01,2045,NA
1797.03,2045,NA
1632.02,2045,NA
1632.03,2045,NA
1632.04,2045,NA
1630.02,2045,NA
1800.01,2045,NA
1800.02,2045,NA
1800.06,2045,NA
1800.04,2045,NA
1800.05,2045,NA
1798.01,2045,NA
1798.02,2045,NA
1798.04,2045,NA
1793.02,2045,NA
1628.02,2045,NA
1628.03,2045,NA
